Input,Target,Progression
"We're doing everything we can,but his condition is still critical.","I understand,but I just need to know... will he make it",I
"Her blood pressure is dropping,we're trying to stabilize it.","Oh god,is she going to be okay What's happening",I
"The surgery was successful,but there were some complications.",Complications What does that mean How serious is it,I
"He's showing some positive signs,but it's still too early to tell.","That's good to hear,I guess. But when will we know for sure",I
We need to run some more tests to get a clearer picture.,More tests How many more When will this be over,I
"She's resting comfortably now,and the pain medication seems to be working.",Thank goodness. Can I see her Is she awake,D 
"He's still in a lot of pain,but we're managing it as best we can.",I can't stand seeing him like this. Is there anything else you can do,I
"The test results are inconclusive,we need to investigate further.",Inconclusive What does that even mean What happens now,I
"We're monitoring him closely,and we'll keep you updated on any changes.",I appreciate that. I just... I need him to be okay.,D 
"She's a fighter,she's holding on strong.",I know she is. She's the strongest person I know.,D 
"His vitals are stable for now,but we're keeping a close eye on him.",That's a relief. Can I stay with him I don't want him to be alone.,N
We're going to need to discuss some treatment options with you.,Treatment options What kind of options What are we talking about,I
"The next few hours are critical,we're doing everything we can.","I understand. Just please,keep fighting for him.",I 
"He's asking for you,he wants to see you.","Really Oh my god,I'm coming right now",D 
"She's had a rough night,but she's stable now.",Poor thing. Can I bring her anything Her favorite book maybe,D 
"The antibiotics seem to be working,the infection is starting to clear up.",That's wonderful news Thank you so much.,D 
"He's still unconscious,but we're hoping to see some improvement soon.",I just want him to wake up. It's been so long...,I 
We're running some tests to rule out any other possibilities.,Other possibilities What do you mean Is it something serious,I 
"We need to run some more tests to be sure,but it seems like a stroke.","A stroke Oh my God,is he going to be okay",N
"He's in the best possible hands,we're doing everything we can.",I just... I don't understand how this could happen.,I
It's important to stay positive right now. He needs your strength.,It's just so sudden. We were just laughing together yesterday.,I
We'll have a clearer picture soon. Try to focus on being there for him when he wakes up.,I will. I just... I'm scared.,I
That's completely understandable. We're here for you too.,Thank you. I don't know what I'd do without you all.,D
There's a chance she may not regain full mobility.,"What do you mean Like,at all",I
"It's too early to say for sure,but physical therapy will be crucial.",But she's so young... she has so much life left to live.,I
We'll explore every option to ensure the best possible outcome.,"I just can't imagine her not being able to walk,to dance...",I
We understand your concerns. We'll be with you every step of the way.,Okay... I just... I need a minute.,I
Of course. Take your time.,Thank you.,D
"The surgery was successful,but there were some complications.",Complications What kind of complications,I
"There was some unexpected blood loss,but we were able to stabilize him.",Oh god... is he going to be alright,I
"He's in critical condition,but we're monitoring him closely.",I... I don't know what to say. This is a lot to process.,I
"We know this is difficult. We're here for you,and we're doing everything we can for him.",Thank you. I appreciate that.,I
We'll keep you updated on any changes.,Please do.,D 
The medication isn't working as well as we hoped.,What does that mean Is there another option,I
"We're going to try a different treatment plan,but it might have more side effects.",Side effects Like what,I
