Input,Target,Progression
"It's great to see them awake and alert today","Oh,that's wonderful I was so worried yesterday. This is the best news I've heard all week.",N
"They're really responding well to the treatment. We're very happy with their progress.","That's such a relief  You have no idea how much this means to me,you guys are miracle workers",D
"They even managed a few steps with the physiotherapist this morning. ","Wow,really Just yesterday they seemed so weak,that's incredible ",D
"They're definitely on the right track. It won't be long before they're back home.","I can't wait to get them home and spoil them rotten I'm so grateful for everything you've done.",D
"We're all rooting for them  Just keep up the good work,they're a fighter.","Thanks,doctor. Hearing that from you gives me so much hope. We'll be celebrating soon",D
"Your friend is doing much better today. The surgery was a success,and they're recovering well.","Oh,thank goodness That is such a relief to hear.  I've been so worried sick.",N
"They're already talking and asking for food,which are great signs.","That's amazing They were so scared going into this whole thing,I'm so glad they're feeling better.",D
"They'll need to stay with us for a little while longer,but they're in good spirits.","Of course,whatever it takes.  I just want them to be healthy and happy again. ",D
"We're keeping a close eye on them,and they're making great progress every day.","Thank you so much for taking such good care of them.  You have no idea how much I appreciate it.",D
"They're lucky to have a friend like you looking out for them. We'll get them back on their feet in no time.","I'm always here for them. I can't wait to see them back to their old self",D
"Your loved one is awake and talking  They're still a bit groggy,but they're doing well.","Oh,doctor,that's the best news I've heard all day  Thank you for calling me.",N
"They're asking about you and can't wait to see you.","Oh bless their heart  I'll be there as soon as I can. I've been so worried.",D
"They're still a little tired,but they're making good progress.","That's such a relief.  I know they're strong,they'll pull through this. ",D
"We're very pleased with their recovery so far.","That makes me so happy.  Thank you for taking such good care of them. ",D
"They're in good hands here,and we expect them to continue improving.","You have no idea how reassuring that is to hear.  I'm so grateful",D
"Your mom is awake,and she's asking for you","Oh,that's wonderful news I've been so worried. I'll be there as soon as I can.",N
"She's doing much better than we expected. The surgery went smoothly.","That's such a relief I was so scared for her. Thank you for taking such good care of her.",D
"She's a little tired,but she's in good spirits and talking up a storm.","That sounds like her I can't wait to see her and make her laugh.",D
"We're going to keep her comfortable,and she'll be back to her old self in no time.","That's all I could ask for. Thank you for giving me peace of mind.",D
"We're all rooting for her here. She's a strong woman","I know she is. I can't wait to get her home and spoil her.",D
"I have good news Your brother is awake and talking. He's doing much better than we expected.","Oh,thank goodness That's the best news I've heard all week I was so worried",N
"He's still a little weak,but he's alert and even cracked a few jokes.","That's my brother Always trying to make people laugh,even in the hospital.",D
"He's asking for you and can't wait to see you.","I'll be there as soon as I can.  I can't wait to see him smile.",D
"We're very optimistic about his recovery. He's a fighter.","I know he is. He's got this Thank you for being so encouraging.",D
"We'll continue to monitor him closely,but he's definitely on the mend.","I'm so relieved to hear that.  Thank you for taking such good care of him.",D
"We have some good news  Your sister's test results came back,and they look very promising.","Oh,doctor,that is fantastic news  We were so worried.  This is such a relief.",N
"It seems like the treatment is working,and she's responding really well.","Oh,that is just wonderful to hear  This is the best news we could have hoped for.",D
"She's still got a long road ahead of her,but we're very optimistic.","We know it won't be easy,but we're so glad to hear she's on the right track.",D
"She's a fighter,and we're all rooting for her","She is  We're so grateful for everything you're doing for her.",D
"We'll continue to monitor her progress closely and make sure she gets the best possible care.","Thank you so much,doctor. You have no idea how much this means to us.",D
"I'm happy to report that your friend is doing much better today. They're awake and alert,and their vitals are stable.","That's such wonderful news We were so worried. Thank you for calling me.",N
"They're still a bit groggy,but they're talking and even managed a smile.","Oh,that warms my heart I can't wait to see them and cheer them up.",D
"It seems like the medication is working,and they're responding well to treatment.","That's a huge relief We're so happy to hear they're making progress.",D
"They're still a little weak,but we're confident they'll regain their strength soon.","We have faith in them They're strong and determined,just like always.",D
"We'll continue to monitor them closely,and we expect them to keep improving.","Thank you for taking such good care of them.  We appreciate everything you're doing.",D
"Your grandmother is awake and asking about you","Oh,that's fantastic  I was so worried  I'll be there as soon as I can.",N
"She's doing much better than we anticipated. She's a strong woman","That's my grandma,tough as nails I knew she could pull through.",D
"She's still a bit tired,but she's talking and even asked for her favorite tea.","That sounds just like her  I can't wait to see her and make her laugh.",D
"We'll keep her comfortable,and we expect her to make a full recovery.","That's wonderful to hear.  Thank you for taking such good care of her.",D
"She's in good spirits,and she's looking forward to seeing you.","I'm so relieved  Thank you for giving us such hopeful news",DInput,Target,Progression
"It's great to see her smiling again","Yes,she even tried to tell me a joke today It warmed my heart to see her spirits lifting.",D
"She's been asking about you. It seems your visits really cheer her up.","That's wonderful I can't wait to see her again. What time tomorrow would be best",N
"She's definitely making good progress. Her energy levels are increasing.","That's fantastic news This is the best news I've heard all week.",D
"She's been much more alert today,even engaging in conversations with the staff.","I knew she could do it She's a fighter,and I'm so proud of her progress.",D
"She's well on her way to a full recovery. We're very pleased with her progress.","Oh,that's just the best news I can't wait to get her home and spoil her.",D
"He's been awake more often and even asked for his favorite book.","That's so good to hear He's been missing his reading time. I'll bring him a new one tomorrow.",D
"He's showing great signs of improvement. He's even been trying to sit up on his own","That's amazing He's been determined to get back on his feet. I knew he could do it.",D
"He's starting to sound like his old self again,even cracking a few jokes.","That's my boy I knew that sense of humor would return. I can't wait to hear them myself.",D
"He's making remarkable progress. We're very optimistic about his recovery.","That's wonderful to hear Thank you so much for taking such good care of him.",D
"He's doing incredibly well. It won't be long before he's back home with you.","I can't wait for that day We all miss him terribly and are so relieved he's getting better.",D
"She's doing much better,her color is better and she's been much more talkative.","That's such a relief  I was so worried,but this is really good news.",D
"She's been asking about her favorite TV show. It's good to see her mind engaged again.","I knew she'd be back to her old self soon I'll be sure to update her on all the latest episodes.",D
"She's been smiling more often. It seems her spirits are really lifting.","That's wonderful to hear I know how much she loves her shows. This is fantastic news",D
"She's making great progress. We're very happy with how she's responding to treatment.","Oh,that's so reassuring  I knew she was strong,but this is just wonderful.",D
"She's doing very well. We're confident she'll be back to her old self in no time.","That's music to my ears Thank you so much for everything you're doing.",D
"He's been joking with the nurses. It's great to see his sense of humor returning.","That's so typical of him It's such a relief to hear he's back to his old self.",D
"He's even been asking to walk around the hallway a bit. He's eager to get moving.","That's great  He's always been active,so that's really encouraging to hear.",D
"He's regaining his strength quickly. We're very pleased with his progress.","This is wonderful news  I can't wait to see him up and about again.",D
"He's doing wonderfully. He's even been talking about his plans for when he's home.","That's fantastic I knew he wouldn't let this keep him down for long.",D
"He's making excellent progress. We're very optimistic about his full recovery.","That's just the best news We're all so relieved and grateful for his progress.",D
"She's been singing along to the radio. It's heartwarming to hear her voice again.","That's so wonderful  She loves to sing. I knew she'd be back to her old self soon.",D
"She even had a little dance in her room today. It's great to see her feeling so energetic.","That's amazing  She's always loved to dance. I'm so happy she has the energy for it.",D
"She's making remarkable progress. Her vitality and spirit are truly inspiring.","That's just like her  She's always been full of life. It's so good to hear.",D
"She's doing incredibly well. Her positive attitude is definitely contributing to her recovery.","She's amazing,isn't she  I knew that smile would be back soon.",D
"She's well on her way to a full recovery. We're so happy with her progress.","This is the best news Thank you so much for taking care of her and cheering her up.",D
"He's been cracking jokes with the nurses. It's good to see his spirits are high.","That sounds like him He always tries to make everyone laugh,even when he's not feeling his best.",D
"He even asked for his guitar today. It seems he's eager to get back to playing.","That's fantastic  Music is his passion. I'm so glad he's feeling up to it.",D
"He's regaining his strength and his spirit. We're very pleased with his progress.","That's wonderful news It's such a relief to hear he's on the mend.",D
"He's doing really well. He's even been talking about getting back to his woodworking projects.","That's great He loves working with his hands. I know he's itching to get back to it.",D
